,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
442,Chronic cholestasis,itching, yellowish skin, nausea, loss of appetite
443,Chronic cholestasis,itching, vomiting, nausea, loss of appetite
444,Chronic cholestasis,itching, vomiting, yellowish skin, loss of appetite
445,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
446,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
447,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
448,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
449,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
450,Drug Reaction,itching, skin rash, stomach pain, burning micturition
451,Drug Reaction,itching, stomach pain, burning micturition, spotting_ urination
452,Drug Reaction,itching, skin rash, burning micturition, spotting_ urination
453,Drug Reaction,itching, skin rash, stomach pain, spotting_ urination
454,Drug Reaction,itching, skin rash, stomach pain, burning micturition
455,Drug Reaction, skin rash, stomach pain, burning micturition, spotting_ urination
456,Drug Reaction,itching, stomach pain, burning micturition, spotting_ urination
457,Drug Reaction,itching, skin rash, burning micturition, spotting_ urination
458,Drug Reaction,itching, skin rash, stomach pain, spotting_ urination
459,Drug Reaction,itching, skin rash, stomach pain, burning micturition
460,Peptic ulcer diseae, vomiting, loss of appetite, abdominal pain, passage_of_gases
461,Peptic ulcer diseae, vomiting, indigestion, abdominal pain, passage_of_gases
462,Peptic ulcer diseae, indigestion, loss of appetite, abdominal pain, passage_of_gases
463,Peptic ulcer diseae, vomiting, loss of appetite, abdominal pain, passage_of_gases
464,Peptic ulcer diseae, vomiting, indigestion, abdominal pain, passage_of_gases
465,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, passage_of_gases
466,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
467,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
468,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
469,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
470, cold, muscle wasting, patches in throat, high fever, extra_marital_contacts
471, cold, patches in throat, high fever, extra_marital_contacts,
472, cold, muscle wasting, high fever, extra_marital_contacts,
473, cold, muscle wasting, patches in throat, extra_marital_contacts,
474, cold, muscle wasting, patches in throat, high fever,
475, cold, muscle wasting, patches in throat, high fever, extra_marital_contacts
476, cold, muscle wasting, patches in throat, high fever, extra_marital_contacts
477, cold, patches in throat, high fever, extra_marital_contacts,
478, cold, muscle wasting, high fever, extra_marital_contacts,
479, cold, muscle wasting, patches in throat, high fever,
480,Diabetes , fatigue, weight loss, restlessness, lethargy
481,Diabetes , fatigue, weight loss, restlessness, lethargy
482,Diabetes , weight loss, restlessness, lethargy, irregular sugar level
483,Diabetes , fatigue, restlessness, lethargy, irregular sugar level
484,Diabetes , fatigue, weight loss, lethargy, irregular sugar level
485,Diabetes , fatigue, weight loss, restlessness, irregular sugar level
486,Diabetes , fatigue, weight loss, restlessness, lethargy
487,Diabetes , fatigue, weight loss, restlessness, lethargy
488,Diabetes , fatigue, weight loss, restlessness, lethargy
489,Diabetes , fatigue, weight loss, restlessness, lethargy
490,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
491,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
492,Gastroenteritis, sunken eyes, dehydration, diarrhoea,
493,Gastroenteritis, vomiting, dehydration, diarrhoea,
494,Gastroenteritis, vomiting, sunken eyes, diarrhoea,
495,Gastroenteritis, vomiting, sunken eyes, dehydration,
496,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
497,Gastroenteritis, sunken eyes, dehydration, diarrhoea,
498,Gastroenteritis, vomiting, dehydration, diarrhoea,
499,Gastroenteritis, vomiting, sunken eyes, diarrhoea,
500,Bronchial Asthma, fatigue, cough, high fever, breathlessness
501,Bronchial Asthma, cough, high fever, breathlessness, family_history
502,Bronchial Asthma, fatigue, high fever, breathlessness, family_history
503,Bronchial Asthma, fatigue, cough, breathlessness, family_history
504,Bronchial Asthma, fatigue, cough, high fever, family_history
505,Bronchial Asthma, fatigue, cough, high fever, breathlessness
506,Bronchial Asthma, fatigue, cough, high fever, breathlessness
507,Bronchial Asthma, fatigue, cough, high fever, breathlessness
508,Bronchial Asthma, cough, high fever, breathlessness, family_history
509,Bronchial Asthma, fatigue, high fever, breathlessness, family_history
510,Hypertension , headache, chest pain, dizziness, loss of balance
511,Hypertension , chest pain, dizziness, loss of balance, lack_of_concentration
512,Hypertension , headache, dizziness, loss of balance, lack_of_concentration
513,Hypertension , headache, chest pain, loss of balance, lack_of_concentration
514,Hypertension , headache, chest pain, dizziness, lack_of_concentration
515,Hypertension , headache, chest pain, dizziness, loss of balance
516,Hypertension , headache, chest pain, dizziness, loss of balance
517,Hypertension , chest pain, dizziness, loss of balance, lack_of_concentration
518,Hypertension , headache, dizziness, loss of balance, lack_of_concentration
519,Hypertension , headache, chest pain, loss of balance, lack_of_concentration
520,Migraine, acidity, indigestion, headache, blurred and distorted vision
521,Migraine, indigestion, headache, blurred and distorted vision, excessive hunger
522,Migraine, acidity, headache, blurred and distorted vision, excessive hunger
523,Migraine, acidity, indigestion, blurred and distorted vision, excessive hunger
524,Migraine, acidity, indigestion, headache, excessive hunger
525,Migraine, acidity, indigestion, headache, blurred and distorted vision
526,Migraine, acidity, indigestion, headache, blurred and distorted vision
527,Migraine, acidity, indigestion, headache, blurred and distorted vision
528,Migraine, acidity, indigestion, headache, blurred and distorted vision
529,Migraine, acidity, indigestion, headache, blurred and distorted vision
530,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
531,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
532,Cervical spondylosis, weakness_in_limbs, neck pain, dizziness, loss of balance
533,Cervical spondylosis, back pain, neck pain, dizziness, loss of balance
534,Cervical spondylosis, back pain, weakness_in_limbs, dizziness, loss of balance
535,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, loss of balance
536,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
537,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
538,Cervical spondylosis, weakness_in_limbs, neck pain, dizziness, loss of balance
539,Cervical spondylosis, back pain, neck pain, dizziness, loss of balance
540,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
541,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
542,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
543,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
544,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
545,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,
546,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
547,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
548,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
549,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
550,Jaundice,itching, vomiting, fatigue, weight loss
551,Jaundice,itching, vomiting, fatigue, weight loss
552,Jaundice, vomiting, fatigue, weight loss, high fever
553,Jaundice,itching, fatigue, weight loss, high fever
554,Jaundice,itching, vomiting, weight loss, high fever
555,Jaundice,itching, vomiting, fatigue, high fever
556,Jaundice,itching, vomiting, fatigue, weight loss
557,Jaundice,itching, vomiting, fatigue, weight loss
558,Jaundice,itching, vomiting, fatigue, weight loss
559,Jaundice,itching, vomiting, fatigue, weight loss
560,Malaria, chills, vomiting, high fever, sweating
561,Malaria, chills, vomiting, high fever, sweating
562,Malaria, chills, vomiting, high fever, sweating
563,Malaria, vomiting, high fever, sweating, headache
564,Malaria, chills, high fever, sweating, headache
565,Malaria, chills, vomiting, sweating, headache
566,Malaria, chills, vomiting, high fever, headache
567,Malaria, chills, vomiting, high fever, sweating
568,Malaria, chills, vomiting, high fever, sweating
569,Malaria, chills, vomiting, high fever, sweating
570,Chicken pox,itching, skin rash, fatigue, lethargy
571,Chicken pox, skin rash, fatigue, lethargy, high fever
572,Chicken pox,itching, fatigue, lethargy, high fever
573,Chicken pox,itching, skin rash, lethargy, high fever
574,Chicken pox,itching, skin rash, fatigue, high fever
575,Chicken pox,itching, skin rash, fatigue, lethargy
576,Chicken pox,itching, skin rash, fatigue, lethargy
577,Chicken pox,itching, skin rash, fatigue, lethargy
578,Chicken pox,itching, skin rash, fatigue, lethargy
579,Chicken pox,itching, skin rash, fatigue, lethargy
580,Dengue, skin rash, chills, joint pain, vomiting
581,Dengue, skin rash, chills, joint pain, vomiting
582,Dengue, skin rash, chills, joint pain, vomiting
583,Dengue, skin rash, chills, joint pain, vomiting
584,Dengue, chills, joint pain, vomiting, fatigue
585,Dengue, skin rash, joint pain, vomiting, fatigue
586,Dengue, skin rash, chills, vomiting, fatigue
587,Dengue, skin rash, chills, joint pain, fatigue
588,Dengue, skin rash, chills, joint pain, vomiting
589,Dengue, skin rash, chills, joint pain, vomiting
590,Allergy, chills, vomiting, fatigue, high fever
591,Allergy, chills, vomiting, fatigue, high fever
592,Allergy, chills, vomiting, fatigue, high fever
593,Allergy, chills, vomiting, fatigue, high fever
594,Allergy, chills, vomiting, fatigue, high fever
595,Allergy, chills, vomiting, fatigue, high fever
596,Allergy, chills, vomiting, fatigue, high fever
597,Allergy, chills, vomiting, fatigue, high fever
598,Allergy, chills, vomiting, fatigue, high fever
599,Allergy, chills, fatigue, high fever, headache
600,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
601,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
602,hepatitis A, vomiting, yellowish skin, dark urine, nausea
603,hepatitis A, joint pain, yellowish skin, dark urine, nausea
604,hepatitis A, joint pain, vomiting, dark urine, nausea
605,hepatitis A, joint pain, vomiting, yellowish skin, nausea
606,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
607,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
608,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
609,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
610,Hepatitis B,itching, fatigue, lethargy, yellowish skin
611,Hepatitis B,itching, fatigue, lethargy, yellowish skin
612,Hepatitis B, fatigue, lethargy, yellowish skin, dark urine
613,Hepatitis B,itching, lethargy, yellowish skin, dark urine
614,Hepatitis B,itching, fatigue, yellowish skin, dark urine
615,Hepatitis B,itching, fatigue, lethargy, dark urine
616,Hepatitis B,itching, fatigue, lethargy, yellowish skin
617,Hepatitis B,itching, fatigue, lethargy, yellowish skin
618,Hepatitis B,itching, fatigue, lethargy, yellowish skin
619,Hepatitis B,itching, fatigue, lethargy, yellowish skin
620,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
621,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
622,Hepatitis C, yellowish skin, nausea, loss of appetite, yellowing of eyes
623,Hepatitis C, fatigue, nausea, loss of appetite, yellowing of eyes
624,Hepatitis C, fatigue, yellowish skin, loss of appetite, yellowing of eyes
625,Hepatitis C, fatigue, yellowish skin, nausea, yellowing of eyes
626,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
627,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
628,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
629,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
630,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
631,Hepatitis D, vomiting, fatigue, yellowish skin, dark urine
632,Hepatitis D, joint pain, fatigue, yellowish skin, dark urine
633,Hepatitis D, joint pain, vomiting, yellowish skin, dark urine
634,Hepatitis D, joint pain, vomiting, fatigue, dark urine
635,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
636,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
637,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
638,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
639,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
640,Hepatitis E, joint pain, vomiting, fatigue, high fever
641,Hepatitis E, joint pain, vomiting, fatigue, high fever
642,Hepatitis E, joint pain, vomiting, fatigue, high fever
643,Hepatitis E, vomiting, fatigue, high fever, yellowish skin
644,Hepatitis E, joint pain, fatigue, high fever, yellowish skin
645,Hepatitis E, joint pain, vomiting, high fever, yellowish skin
646,Hepatitis E, joint pain, vomiting, fatigue, yellowish skin
647,Hepatitis E, joint pain, vomiting, fatigue, high fever
648,Hepatitis E, joint pain, vomiting, fatigue, high fever
649,Hepatitis E, joint pain, vomiting, fatigue, high fever
650,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
651,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
652,Alcoholic hepatitis, yellowish skin, abdominal pain, swelling of stomach, distention_of_abdomen
653,Alcoholic hepatitis, vomiting, abdominal pain, swelling of stomach, distention_of_abdomen
654,Alcoholic hepatitis, vomiting, yellowish skin, swelling of stomach, distention_of_abdomen
655,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, distention_of_abdomen
656,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
657,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
658,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
659,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
660,Tuberculosis, chills, vomiting, fatigue, weight loss
661,Tuberculosis, chills, vomiting, fatigue, weight loss
662,Tuberculosis, vomiting, fatigue, weight loss, cough
663,Tuberculosis, chills, fatigue, weight loss, cough
664,Tuberculosis, chills, vomiting, weight loss, cough
